"annotation_id","annotator","created_at","id","lead_time","sentiment","updated_at","Текст"
2,"1","2023-11-06T21:00:30.514647Z",1,13.966000000000001,"Positive","2023-11-06T21:00:45.980133Z","Где информация о вкладе 13%"
21,"1","2023-11-06T21:07:34.924281Z",3,15.050999999999998,"Neutral","2023-11-06T21:08:29.135426Z","Свяжите с оператором"
5,"1","2023-11-06T21:01:34.771947Z",4,8.217,"Neutral","2023-11-06T21:11:22.732656Z","Здравствуйте!"
7,"1","2023-11-06T21:01:40.669804Z",6,2.447,"Positive","2023-11-06T21:01:40.670797Z","Добрый день. Я сняла деньги с накопительного счёта 1 сентября 2023. Когда я могу положить их на накопительный счёт под 13,5 процентов? Через 3 месяца?"
8,"1","2023-11-06T21:01:43.832998Z",7,2.587,"Positive","2023-11-06T21:01:43.832998Z","Обычный накопительный счёт"
10,"1","2023-11-06T21:01:49.464157Z",9,2.115,"Positive","2023-11-06T21:01:49.464157Z","Здравствуйте.  Вклад «накопительный счет» доступен сейчас?"
11,"1","2023-11-06T21:01:52.279959Z",10,2.281,"Positive","2023-11-06T21:01:52.279959Z","Здравствуйте. Хочу открыть вклад копилка."
12,"1","2023-11-06T21:01:54.887130Z",11,2.03,"Positive","2023-11-06T21:01:54.887130Z","Здравствуйте, подскажите пожалуйста, я гражданин республики Узбекистан, работаю уже больше двух лет в нефтегазовой компании и данная карта является заработной. Могу ли я получить потребительский кредит от вашего банка ? Заранее спасибо за ответ."
14,"1","2023-11-06T21:02:11.637519Z",13,13.839,"Positive","2023-11-06T21:02:11.637519Z","Отменить или скорректировать заявку"
15,"1","2023-11-06T21:02:14.962248Z",14,2.666,"Positive","2023-11-06T21:02:14.962248Z","Взять кредит"
16,"1","2023-11-06T21:02:42.847523Z",15,3.024,"Positive","2023-11-06T21:02:42.847523Z","Кредиты"
17,"1","2023-11-06T21:04:25.742371Z",16,5.063000000000001,"Positive","2023-11-06T21:04:29.048417Z","Узнать сумму кредита"
18,"1","2023-11-06T21:05:38.094955Z",17,7.677,"Negative","2023-11-06T21:06:32.557291Z","Если они аннулировали мне кредитную карту, какого черта меня при этом заваливают предложениями об оформлении кредитов ?"
22,"1","2023-11-06T21:15:57.993075Z",18,2.795,"Positive","2023-11-06T21:15:57.993075Z","Здрасьте, а у вас есть виртуальные дебетовые карты?"
23,"1","2023-11-06T21:17:52.045523Z",19,3.169,"Neutral","2023-11-06T21:17:52.045523Z","А срок изготовления карты?"
24,"1","2023-11-06T21:17:54.548757Z",20,1.958,"Neutral","2023-11-06T21:17:54.548757Z","Добрый день! Я делала заявку на кредит онлайн, ответа не получила"
25,"1","2023-11-06T21:17:57.015965Z",21,1.918,"Neutral","2023-11-06T21:17:57.015965Z","Можно заказать через онлайн карту перезапустить"
26,"1","2023-11-06T21:17:59.710177Z",22,2.117,"Neutral","2023-11-06T21:17:59.710177Z","Здравствуйте, подскажите, у меня сгорел дом и нужна новая карта зарплатная, что мне сделать"
27,"1","2023-11-06T21:18:02.224954Z",23,1.871,"Neutral","2023-11-06T21:18:02.224954Z","Я не успел, ещё раз
Карта от учебного заведения должна просрочиться 09 23, как мне посмотреть продлялась ли она?"
28,"1","2023-11-06T21:18:05.015697Z",24,2.199,"Neutral","2023-11-06T21:18:05.015697Z","Здравствуйте, готова ли моя карта?"
29,"1","2023-11-06T21:18:07.571203Z",25,1.826,"Neutral","2023-11-06T21:18:07.571203Z","Сколько времени перевыпускается новая карта после блокировки"
30,"1","2023-11-06T21:18:10.764481Z",26,2.574,"Neutral","2023-11-06T21:18:10.764481Z","Здравствуйте! Срок действия зарплатной карты 11/23. Какие мои действия? Можно идти получать или не готова ещё?"
31,"1","2023-11-06T21:18:13.248905Z",27,1.706,"Neutral","2023-11-06T21:18:13.248905Z","Не могу перевести деньги с карты другого банка ни на одну из карт газпрома"
32,"1","2023-11-06T21:18:15.676778Z",28,1.886,"Neutral","2023-11-06T21:18:15.676778Z","Не могу перевести деньги с карты другого банка ни на одну из карт газпрома"
33,"1","2023-11-06T21:18:18.344917Z",29,2.073,"Neutral","2023-11-06T21:18:18.344917Z","Забыл пин код от карты"
34,"1","2023-11-06T21:18:20.961957Z",31,2.041,"Neutral","2023-11-06T21:18:20.962965Z","Сколько времени перевыпускается новая карта после блокировки"
35,"1","2023-11-06T21:18:23.568474Z",33,1.831,"Neutral","2023-11-06T21:18:23.568474Z","Добрый день! Когда разблокируют денежные средства на счету ?"
36,"1","2023-11-06T21:18:26.261814Z",34,2.144,"Neutral","2023-11-06T21:18:26.261814Z","Разблокировать карту"
37,"1","2023-11-06T21:18:29.216653Z",35,2.345,"Neutral","2023-11-06T21:18:29.216653Z","Перевышен лимит написал там"
38,"1","2023-11-06T21:18:31.767545Z",36,1.906,"Neutral","2023-11-06T21:18:31.767545Z","Доброго времени суток! Хотел перевести деньги человеку и меня заблокировали карту"
39,"1","2023-11-06T21:18:35.187194Z",37,2.823,"Neutral","2023-11-06T21:18:35.187194Z","Будет ли в данном случае разблокирована кредитная карта и смогу ли ей пользоваться"
40,"1","2023-11-06T21:18:37.792759Z",38,1.966,"Neutral","2023-11-06T21:18:37.792759Z","Данную операцию повторно проводить не нужно так как на тот момент решили ситуацию иным способом, как я сейчас могу разблокировать карту?"
41,"1","2023-11-06T21:18:40.365151Z",39,2.046,"Neutral","2023-11-06T21:18:40.365151Z","Могли бы проконсультировать по последнему зачислению?"
42,"1","2023-11-06T21:18:42.830205Z",40,1.846,"Neutral","2023-11-06T21:18:42.830205Z","Здравствуйте. Скажите пожалуста, было поступление. 2030 рублей на карту. От кого можно узнать?"
43,"1","2023-11-06T21:18:45.319055Z",42,1.868,"Neutral","2023-11-06T21:18:45.319055Z","Кто пополнил карту"
44,"1","2023-11-06T21:18:47.685871Z",43,1.788,"Neutral","2023-11-06T21:18:47.685871Z","Что это за операция?"
45,"1","2023-11-06T21:18:49.820719Z",45,1.562,"Neutral","2023-11-06T21:18:49.820719Z","Добрый день ! Можно заказать детализацию по карте?"
46,"1","2023-11-06T21:18:52.177441Z",47,1.728,"Neutral","2023-11-06T21:18:52.177441Z","Почему не могу заказать выписку трат по карте "
47,"1","2023-11-06T21:18:54.770507Z",48,2.079,"Neutral","2023-11-06T21:18:54.771500Z","Я случайно скрыл виртуальную карту и теперь не понимаю как ее вернуть"
48,"1","2023-11-06T21:18:57.209238Z",49,1.813,"Neutral","2023-11-06T21:18:57.209238Z","Можно заказать через онлайн карту перезапустить"
49,"1","2023-11-06T21:19:04.549192Z",50,6.699,"Neutral","2023-11-06T21:19:04.549192Z","Есть ли у вас пенсионная карта?"
50,"1","2023-11-06T21:19:07.593710Z",51,2.445,"Neutral","2023-11-06T21:19:07.593710Z","Добрый день. Нужно для ребёнка оформить  ""Карту Сахалинца"". Что для этого нужно?"
51,"1","2023-11-06T21:19:10.499316Z",52,2.302,"Neutral","2023-11-06T21:19:10.499316Z","Нужна карта для ребенка"
52,"1","2023-11-06T21:19:13.125623Z",53,2.009,"Neutral","2023-11-06T21:19:13.125623Z","Здравствуйте!
На работе переходим в другой банк, соответственно зарплатный проект в Вашем банке прекращается. 
Мы с коллегами хотим узнать, можно ли будет бесплатно продолжать пользоваться золотой картой Вашего банка или на каких новых условиях продолжим сотрудничество?"
53,"1","2023-11-06T21:19:15.665823Z",54,1.834,"Neutral","2023-11-06T21:19:15.665823Z","Здрасьте, а у вас есть виртуальные дебетовые карты?"
54,"1","2023-11-06T21:19:19.067361Z",55,2.772,"Neutral","2023-11-06T21:19:19.067361Z","А срок изготовления карты?"
55,"1","2023-11-06T21:19:21.685375Z",56,2.0,"Neutral","2023-11-06T21:19:21.685375Z","Добрый день! Я делала заявку на кредит онлайн, ответа не получила"
56,"1","2023-11-06T21:19:24.118041Z",57,1.819,"Neutral","2023-11-06T21:19:24.118041Z","Можно заказать через онлайн карту перезапустить"
57,"1","2023-11-06T21:19:26.599946Z",58,1.893,"Neutral","2023-11-06T21:19:26.599946Z","Здравствуйте, подскажите, у меня сгорел дом и нужна новая карта зарплатная, что мне сделать"
58,"1","2023-11-06T21:19:28.834710Z",59,1.602,"Neutral","2023-11-06T21:19:28.834710Z","Я не успел, ещё раз
Карта от учебного заведения должна просрочиться 09 23, как мне посмотреть продлялась ли она?"
59,"1","2023-11-06T21:19:31.177115Z",60,1.742,"Neutral","2023-11-06T21:19:31.177115Z","Здравствуйте, готова ли моя карта?"
60,"1","2023-11-06T21:19:33.342382Z",61,1.587,"Neutral","2023-11-06T21:19:33.342382Z","А срок изготовления карты?"
61,"1","2023-11-06T21:19:35.652268Z",62,1.78,"Neutral","2023-11-06T21:19:35.653267Z","Сколько времени перевыпускается новая карта после блокировки"
62,"1","2023-11-06T21:19:38.225546Z",63,2.002,"Neutral","2023-11-06T21:19:38.225546Z","Здравствуйте! Срок действия зарплатной карты 11/23. Какие мои действия? Можно идти получать или не готова ещё?"
63,"1","2023-11-06T21:19:41.938551Z",64,3.107,"Neutral","2023-11-06T21:19:41.938551Z","Пинкод карты"
64,"1","2023-11-06T21:19:44.978039Z",65,2.409,"Neutral","2023-11-06T21:19:44.978039Z","Забыла пин код"
65,"1","2023-11-06T21:19:47.209340Z",66,1.647,"Neutral","2023-11-06T21:19:47.209340Z","Не могу перевести деньги с карты другого банка ни на одну из карт газпрома"
66,"1","2023-11-06T21:19:49.803188Z",67,1.935,"Neutral","2023-11-06T21:19:49.804200Z","Не могу перевести деньги с карты другого банка ни на одну из карт газпрома"
67,"1","2023-11-06T21:19:52.268355Z",68,1.853,"Neutral","2023-11-06T21:19:52.268355Z","Забыл пин код от карты"
68,"1","2023-11-06T21:29:41.488553Z",69,2.615,"Negative","2023-11-06T21:29:41.488553Z","Здравствуйте. Как закрыть карту, которая заблокирована?"
69,"1","2023-11-06T21:29:43.781257Z",70,1.68,"Negative","2023-11-06T21:29:43.781257Z","В офисе банка был представитель по доверенности"
70,"1","2023-11-06T21:29:46.018001Z",71,1.687,"Negative","2023-11-06T21:29:46.018001Z","Я делала её для стипендии, больше она мне не нужна"
71,"1","2023-11-06T21:29:48.881488Z",72,2.252,"Negative","2023-11-06T21:29:48.881488Z","Здравствуйте! Я открыл вклад на 31 дней. Я думал как 31 дней закончатся, я могу использовать свои деньги. Но, это автоматически продлилось на ещё 31 дней до 1ого ноября. Смогу ли я нормально 1ого ноября закрыт свой вклад и взять деньги, или он будет продолжатся автоматически до бесконечности?"
72,"1","2023-11-06T21:29:51.468555Z",73,1.772,"Negative","2023-11-06T21:29:51.468555Z","Я не писал про досрочное закрытие вклада. Прочтите внимательно мой вопрос."
73,"1","2023-11-06T21:29:53.797168Z",74,1.797,"Negative","2023-11-06T21:29:53.797168Z","Срок вклада ""Ваш успех"" до 17.10. Если сегодня 17.10 закрывать вклад это не будет досрочным закрытием?"
74,"1","2023-11-06T21:29:56.340105Z",75,1.899,"Negative","2023-11-06T21:29:56.340105Z","Здравствуйте
Я хотела бы закрыть вклад досрочно, как это сделать?"
75,"1","2023-11-06T21:29:58.773632Z",76,1.708,"Negative","2023-11-06T21:29:58.773632Z","Здравствуйте! Я открыл вклад на 31 дней. Я думал как 31 дней закончатся, я могу использовать свои деньги. Но, это автоматически продлилось на ещё 31 дней до 1ого ноября. Смогу ли я нормально 1ого ноября закрыт свой вклад и взять деньги, или он будет продолжатся автоматически до бесконечности?"
76,"1","2023-11-06T21:30:01.072929Z",77,1.392,"Negative","2023-11-06T21:30:01.072929Z","Здравствуйте! За что у меня идет списание каждый месяц 99 руб?"
77,"1","2023-11-06T21:30:03.427954Z",78,1.732,"Negative","2023-11-06T21:30:03.427954Z","Здравствуйте, у меня такая проблема изначально стояло смс оповещения на одном номере потом переделал на другой а смс идут так же на старый как это можно отключить"
